,Year,Name,tenure,TEAM,AGE,GP,W,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position,Height,Weight,Salary_Weight,Salary_Weight_l
0,1997,Horace Grant,8,ORL,32,76,38,36.9,12.1,5.2,11.3,45.9,0.0,0.1,0.0,1.8,2.6,67.8,3.0,5.1,8.1,2.3,1.2,1.1,1.0,2.4,30.4,13,0,-0.4,F-C,208.28,215.0,0.26143333333333335,0.5310674349442379
1,1998,Horace Grant,9,ORL,33,50,33,33.1,8.9,4.0,9.1,43.4,0.0,0.0,0.0,0.9,1.4,67.1,2.3,4.7,7.0,1.8,0.9,0.9,1.2,2.0,25.5,8,0,0.8,F-C,208.28,215.0,0.17507002941176472,0.26143333333333335
2,1999,Horace Grant,10,OKC,34,76,43,35.3,8.1,3.5,7.9,44.4,0.0,0.1,0.0,1.1,1.5,72.1,2.2,5.6,7.8,2.5,0.8,0.7,0.8,2.5,24.8,12,0,1.2,F-C,208.28,215.0,0.18309859154929578,0.17507002941176472
3,2000,Horace Grant,11,LAL,35,77,54,31.0,8.5,3.4,7.4,46.2,0.0,0.0,0.0,1.7,2.2,77.5,2.9,4.2,7.1,1.6,0.6,0.7,0.8,2.4,23.1,13,0,4.0,F-C,208.28,215.0,0.056931294117647066,0.18309859154929578
4,2001,Horace Grant,12,ORL,36,76,41,29.1,8.0,3.5,6.8,51.3,0.0,0.0,0.0,1.1,1.5,72.1,2.1,4.2,6.3,1.4,0.7,0.8,0.6,1.6,21.2,5,0,3.0,F-C,208.28,215.0,0.06609068560502594,0.056931294117647066
5,2002,Horace Grant,13,ORL,37,5,3,17.0,5.2,2.6,5.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.6,1.4,0.2,0.6,0.0,1.0,10.8,0,0,-2.8,F-C,208.28,215.0,0.024406934306569344,0.06609068560502594
6,1997,Reggie Miller,8,IND,32,81,58,34.5,19.5,6.4,13.3,47.7,2.0,4.7,42.9,4.7,5.4,86.8,0.6,2.3,2.9,2.1,1.6,1.0,0.1,1.8,27.8,0,0,6.5,G-F,200.66,185.0,0.22603333333333334,0.3357565055762082
7,1998,Reggie Miller,9,IND,33,50,33,35.8,18.4,5.9,13.4,43.8,2.1,5.5,38.5,4.5,4.9,91.5,0.5,2.2,2.7,2.2,1.5,0.7,0.2,2.0,26.2,1,0,3.8,G-F,200.66,185.0,0.2656426470588235,0.22603333333333334
8,1999,Reggie Miller,10,IND,34,81,55,36.9,18.1,5.8,12.9,44.8,2.0,5.0,40.8,4.6,5.0,91.9,0.6,2.3,3.0,2.3,1.6,1.0,0.3,1.6,27.6,0,0,3.4,G-F,200.66,185.0,0.30056338028169016,0.2656426470588235
9,2000,Reggie Miller,11,IND,35,81,41,39.3,18.9,6.4,14.5,44.0,2.1,5.7,36.6,4.0,4.3,92.8,0.5,3.0,3.5,3.2,1.6,1.0,0.2,2.0,29.8,1,0,0.0,G-F,200.66,185.0,0.28341352941176473,0.30056338028169016
10,2001,Reggie Miller,12,IND,36,79,40,36.6,16.5,5.2,11.6,45.3,2.3,5.6,40.6,3.7,4.1,91.1,0.3,2.5,2.8,3.2,1.5,1.1,0.1,1.8,26.8,0,0,-0.1,G-F,200.66,185.0,0.299135184127536,0.28341352941176473
11,2002,Reggie Miller,13,IND,37,70,38,30.3,12.6,4.0,9.1,44.1,1.6,4.5,35.5,3.0,3.3,90.0,0.3,2.2,2.5,2.4,0.9,0.9,0.1,1.3,21.1,1,0,2.9,G-F,200.66,185.0,0.11405109489051095,0.299135184127536
12,2003,Reggie Miller,14,IND,38,80,59,28.3,10.0,3.3,7.4,43.8,1.7,4.2,40.1,1.8,2.1,88.5,0.2,2.1,2.4,3.1,0.9,0.8,0.1,1.2,19.5,0,0,6.3,G-F,200.66,185.0,0.12537041258263049,0.11405109489051095
13,2004,Reggie Miller,15,IND,39,66,34,32.0,14.8,4.8,10.9,43.7,1.5,4.5,32.2,3.8,4.1,93.3,0.3,2.1,2.4,2.2,1.2,0.8,0.1,1.7,22.2,0,0,3.6,G-F,200.66,185.0,0.12121212121212122,0.12537041258263049
14,1997,Shaquille O'Neal,6,LAL,26,60,46,36.2,28.3,11.2,19.1,58.4,0.0,0.0,0.0,6.0,11.4,52.7,3.5,7.9,11.4,2.4,2.9,0.7,2.4,3.2,51.7,39,0,10.9,C,215.9,325.0,0.5,0.47796070631970256
15,1998,Shaquille O'Neal,7,LAL,27,49,31,34.8,26.3,10.4,18.1,57.6,0.0,0.0,0.0,5.5,10.2,54.0,3.8,6.9,10.7,2.3,2.5,0.7,1.7,3.2,47.4,30,0,4.6,C,215.9,325.0,0.5042017058823529,0.5
16,1999,Shaquille O'Neal,8,LAL,28,79,66,40.1,29.7,12.1,21.1,57.4,0.0,0.0,0.0,5.5,10.4,52.4,4.3,9.4,13.6,3.8,2.8,0.5,3.0,3.2,59.3,63,0,8.9,C,215.9,325.0,0.5432595774647887,0.5042017058823529
17,2000,Shaquille O'Neal,9,LAL,29,74,51,39.5,28.7,11.0,19.2,57.2,0.0,0.0,0.0,6.7,13.1,51.3,3.9,8.8,12.7,3.7,2.9,0.6,2.8,3.5,56.8,60,0,6.3,C,215.9,325.0,0.504201694117647,0.5432595774647887
18,2001,Shaquille O'Neal,10,LAL,30,67,51,36.1,27.2,10.6,18.3,57.9,0.0,0.0,0.0,5.9,10.7,55.5,3.5,7.2,10.7,3.0,2.6,0.6,2.0,3.0,49.9,40,0,8.5,C,215.9,325.0,0.5853201807752476,0.504201694117647
19,2002,Shaquille O'Neal,11,LAL,31,67,45,37.8,27.5,10.4,18.1,57.4,0.0,0.0,0.0,6.7,10.8,62.2,3.9,7.2,11.1,3.1,2.9,0.6,2.4,3.4,51.3,46,0,5.4,C,215.9,325.0,0.5645528968978103,0.5853201807752476
20,2003,Shaquille O'Neal,12,LAL,32,67,49,36.8,21.5,8.3,14.1,58.4,0.0,0.0,0.0,4.9,10.1,49.0,3.7,7.8,11.5,2.9,2.9,0.5,2.5,3.4,45.7,43,0,6.6,C,215.9,325.0,0.63132961021199,0.5645528968978103
21,2004,Shaquille O'Neal,13,MIA,33,73,53,34.2,22.9,9.0,15.0,60.1,0.0,0.0,0.0,4.8,10.5,46.1,3.5,6.9,10.4,2.7,2.8,0.5,2.3,3.6,45.2,43,0,6.5,C,215.9,325.0,0.40404040404040403,0.63132961021199
22,2005,Shaquille O'Neal,14,MIA,34,59,42,30.6,20.0,8.1,13.6,60.0,0.0,0.0,0.0,3.7,8.0,46.9,2.9,6.3,9.2,1.9,2.8,0.4,1.8,3.9,37.5,24,1,4.6,C,215.9,325.0,0.37639973652018444,0.40404040404040403
23,2006,Shaquille O'Neal,15,MIA,35,40,25,28.4,17.3,7.1,12.0,59.1,0.0,0.0,0.0,3.1,7.4,42.2,2.4,5.0,7.4,2.0,2.4,0.2,1.4,3.5,31.5,8,0,1.0,C,215.9,325.0,0.35951824555096173,0.37639973652018444
24,2007,Shaquille O'Neal,16,PHX,36,61,25,28.7,13.6,5.4,9.1,59.3,0.0,0.0,0.0,2.8,5.5,50.3,2.7,6.4,9.1,1.5,3.0,0.5,1.4,3.7,29.8,21,0,0.1,C,215.9,325.0,0.35787321063394684,0.35951824555096173
25,2008,Shaquille O'Neal,17,PHX,37,75,44,30.0,17.8,6.8,11.2,60.9,0.0,0.0,0.0,4.1,6.9,59.5,2.5,5.9,8.4,1.7,2.2,0.7,1.4,3.4,34.5,30,0,1.8,C,215.9,325.0,0.3466204506065858,0.35787321063394684
26,2009,Shaquille O'Neal,18,CLE,38,53,40,23.4,12.0,4.9,8.7,56.6,0.0,0.0,0.0,2.1,4.3,49.6,1.8,4.9,6.7,1.5,2.0,0.3,1.2,3.2,24.7,7,0,1.8,C,215.9,325.0,0.02329579284680587,0.3466204506065858
27,1997,Gary Payton,8,OKC,29,82,61,38.4,19.2,7.1,15.6,45.3,1.6,4.8,33.8,3.4,4.6,74.4,0.9,3.6,4.6,8.3,2.8,2.3,0.2,2.4,41.7,28,1,7.5,G,190.5,190.0,0.2905,0.39088059479553905
28,1998,Gary Payton,9,OKC,30,50,25,40.2,21.7,8.0,18.5,43.4,1.7,5.6,29.5,4.0,5.5,72.1,1.2,3.6,4.9,8.7,3.1,2.2,0.2,2.3,44.8,19,1,0.6,G,190.5,190.0,0.32413155882352945,0.2905
29,1999,Gary Payton,10,OKC,31,82,45,41.8,24.2,9.1,20.3,44.8,2.2,6.3,34.0,3.8,5.2,73.5,1.2,5.2,6.5,8.9,2.7,1.9,0.2,2.2,48.8,41,2,2.7,G,190.5,190.0,0.3436619718309859,0.32413155882352945
30,2000,Gary Payton,11,OKC,32,79,43,41.1,23.1,9.2,20.1,45.6,1.3,3.4,37.5,3.4,4.5,76.6,0.9,3.6,4.6,8.1,2.6,1.6,0.3,2.3,43.9,27,2,-0.2,G,190.5,190.0,0.30415277647058825,0.3436619718309859
31,2001,Gary Payton,12,OKC,33,82,45,40.2,22.1,9.0,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,1.0,3.9,4.8,9.0,2.5,1.6,0.3,2.2,44.6,32,2,2.5,G,190.5,190.0,0.3137770852474485,0.30415277647058825
32,2002,Gary Payton,13,MIL,34,80,37,40.1,20.4,8.3,18.3,45.4,0.7,2.3,29.7,3.1,4.4,71.0,1.0,3.2,4.2,8.3,2.3,1.7,0.3,2.3,41.3,28,0,-0.6,G,190.5,190.0,0.11215784671532847,0.3137770852474485
33,2003,Gary Payton,14,LAL,35,82,56,34.6,14.6,5.9,12.5,47.1,0.7,2.0,33.3,2.2,3.1,71.4,0.9,3.3,4.2,5.5,1.8,1.2,0.2,2.1,30.2,6,1,4.0,G,190.5,190.0,0.12328926373375884,0.11215784671532847
34,2004,Gary Payton,15,BOS,36,77,41,33.1,11.3,4.4,9.4,46.8,0.5,1.7,32.6,2.0,2.6,76.1,0.6,2.4,3.1,6.1,1.9,1.1,0.2,1.6,26.1,7,0,0.6,G,190.5,190.0,0.023,0.12328926373375884
35,2005,Gary Payton,16,MIA,37,81,52,28.5,7.7,2.8,6.8,42.0,0.8,2.8,28.7,1.2,1.6,79.4,0.4,2.5,2.9,3.2,1.3,0.9,0.1,2.1,17.7,0,0,1.5,G,190.5,190.0,0.022176493836454314,0.023
36,1997,David Robinson,8,SAS,32,73,50,33.7,21.6,7.5,14.6,51.1,0.0,0.1,25.0,6.6,9.0,73.5,3.3,7.3,10.6,2.7,2.8,0.9,2.6,2.8,46.1,40,0,4.9,C,215.9,235.0,0.49470000000000003,0.46087137546468404
37,1998,David Robinson,9,SAS,33,49,36,31.7,15.8,5.5,10.8,50.9,0.0,0.0,0.0,4.9,7.4,65.8,3.0,7.0,10.0,2.1,2.2,1.4,2.4,2.9,40.3,23,0,6.8,C,215.9,235.0,0.3409612647058824,0.49470000000000003
38,1999,David Robinson,10,SAS,34,80,51,32.0,17.8,6.6,12.9,51.2,0.0,0.0,0.0,4.6,6.4,72.6,2.4,7.2,9.6,1.8,2.1,1.2,2.3,3.1,40.5,34,0,5.2,C,215.9,235.0,0.4140845070422535,0.3409612647058824
39,2000,David Robinson,11,SAS,35,80,57,29.6,14.4,5.0,10.3,48.6,0.0,0.0,0.0,4.4,5.9,74.7,2.6,6.0,8.6,1.5,1.5,1.0,2.5,2.7,35.8,22,0,7.0,C,215.9,235.0,0.2235294117647059,0.4140845070422535
40,2001,David Robinson,12,SAS,36,78,55,29.6,12.2,4.4,8.6,50.7,0.0,0.0,0.0,3.4,5.1,68.1,2.4,5.8,8.3,1.2,1.3,1.1,1.8,2.5,31.3,20,0,5.5,C,215.9,235.0,0.2607335303320007,0.2235294117647059
41,1997,Juwan Howard,4,WAS,25,64,32,39.9,18.5,7.2,15.5,46.7,0.0,0.0,0.0,4.0,5.6,72.1,2.5,4.5,7.0,3.3,2.9,1.3,0.4,3.5,33.8,11,0,-0.7,F,205.74,240.0,0.4375,0.41821561338289964
42,1998,Juwan Howard,5,WAS,26,36,14,39.8,19.0,8.0,16.8,47.4,0.0,0.1,0.0,3.1,4.1,75.3,2.5,5.6,8.2,3.0,2.6,1.2,0.4,3.6,35.3,11,0,-2.3,F,205.74,240.0,0.4411764705882353,0.4375
43,1999,Juwan Howard,6,WAS,27,82,29,35.5,14.9,6.2,13.5,45.9,0.0,0.1,0.0,2.5,3.4,73.5,1.6,4.1,5.7,3.0,2.7,0.8,0.3,3.6,26.8,10,0,-2.9,F,205.74,240.0,0.4753521126760563,0.4411764705882353
44,2000,Juwan Howard,7,DAL,28,81,32,36.7,18.0,7.2,15.0,47.9,0.0,0.0,0.0,3.7,4.7,77.3,2.1,5.0,7.1,2.8,3.0,0.9,0.5,3.6,31.8,16,0,-1.1,F,205.74,240.0,0.4411764705882353,0.4753521126760563
45,2001,Juwan Howard,8,DEN,29,81,45,32.5,14.6,5.7,12.4,46.0,0.0,0.0,0.0,3.2,4.2,76.1,2.8,4.8,7.6,2.1,1.9,0.6,0.6,3.3,28.4,17,0,-1.5,F,205.74,240.0,0.51215514886643,0.4411764705882353
46,2002,Juwan Howard,9,DEN,30,77,16,35.5,18.4,7.4,16.4,45.0,0.0,0.1,50.0,3.7,4.6,80.3,2.4,5.2,7.6,3.0,2.5,1.0,0.4,3.1,33.7,18,0,-6.8,F,205.74,240.0,0.11215784671532847,0.51215514886643
47,2003,Juwan Howard,10,ORL,31,81,21,35.6,17.0,6.5,14.4,45.3,0.0,0.0,0.0,3.9,4.9,80.9,2.1,4.9,7.0,2.0,2.2,0.7,0.3,3.5,29.0,16,0,-4.4,F,205.74,240.0,0.12328926373375884,0.11215784671532847
48,2004,Juwan Howard,11,HOU,32,61,38,26.6,9.6,4.0,8.9,45.1,0.0,0.0,0.0,1.6,1.9,84.3,2.1,3.6,5.7,1.5,1.3,0.5,0.1,2.3,19.2,7,0,0.6,F,205.74,240.0,0.1192,0.12328926373375884
49,2005,Juwan Howard,12,HOU,33,80,34,31.7,11.8,4.9,10.7,45.9,0.0,0.1,0.0,1.9,2.4,80.6,2.1,4.6,6.7,1.4,1.7,0.6,0.1,2.9,22.4,10,0,-3.1,F,205.74,240.0,0.12029923779053354,0.1192
50,2006,Juwan Howard,13,HOU,34,80,52,26.5,9.7,3.9,8.3,46.5,0.0,0.0,0.0,1.9,2.4,82.4,1.7,4.2,5.9,1.6,1.4,0.4,0.1,2.6,19.2,9,0,0.9,F,205.74,240.0,0.14551495595901492,0.12029923779053354
51,2007,Juwan Howard,14,DAL,35,50,28,7.0,1.1,0.5,1.3,35.9,0.0,0.0,0.0,0.2,0.3,78.6,0.4,1.2,1.6,0.3,0.3,0.1,0.0,1.2,3.7,0,0,-1.0,F,205.74,240.0,0.1423929618268575,0.14551495595901492
52,2008,Juwan Howard,15,CHA,36,42,19,11.2,4.1,1.8,3.5,51.0,0.0,0.0,0.0,0.5,0.8,67.6,0.7,1.1,1.8,0.6,0.6,0.2,0.1,1.7,7.5,0,0,-2.3,F,205.74,240.0,0.02264220103986135,0.1423929618268575
53,2009,Juwan Howard,16,POR,37,73,44,22.3,6.0,2.6,5.1,50.9,0.0,0.0,0.0,0.8,1.0,78.6,1.5,3.1,4.6,0.8,1.0,0.4,0.1,2.6,13.3,2,0,-1.0,F,205.74,240.0,0.02329579284680587,0.02264220103986135
54,2010,Juwan Howard,17,POR,37,73,44,22.3,6.0,2.6,5.1,50.9,0.0,0.0,0.0,0.8,1.0,78.6,1.5,3.1,4.6,0.8,1.0,0.4,0.1,2.6,13.3,2,0,-1.0,F,205.74,240.0,0.023295792846805875,0.02329579284680587
55,2011,Juwan Howard,18,MIA,38,57,43,10.4,2.4,1.0,2.2,44.0,0.0,0.0,0.0,0.5,0.6,82.9,0.6,1.5,2.1,0.4,0.4,0.2,0.1,1.1,5.9,0,0,0.4,F,205.74,240.0,0.006440596788643098,0.023295792846805875
56,1997,Hakeem Olajuwon,8,HOU,35,47,26,34.7,16.4,6.5,13.5,48.3,0.0,0.1,0.0,3.4,4.5,75.5,2.5,7.3,9.8,3.0,2.7,1.8,2.0,3.2,41.5,23,0,1.4,C,213.36,255.0,0.4314333333333333,0.414721189591078
57,1998,Hakeem Olajuwon,9,HOU,36,50,31,35.7,18.9,7.5,14.5,51.4,0.1,0.3,30.8,3.9,5.4,71.7,2.1,7.4,9.6,1.8,2.8,1.6,2.5,3.2,42.5,25,0,1.2,C,213.36,255.0,0.4206470882352941,0.4314333333333333
58,1999,Hakeem Olajuwon,10,HOU,37,44,14,23.8,10.3,4.4,9.6,45.8,0.0,0.0,0.0,1.6,2.5,61.6,1.5,4.8,6.2,1.4,1.7,0.9,1.6,2.0,25.8,5,0,-0.8,C,213.36,255.0,0.4704225352112676,0.4206470882352941
59,2000,Hakeem Olajuwon,11,HOU,38,58,32,26.6,11.9,4.9,9.8,49.8,0.0,0.0,0.0,2.1,3.4,62.1,2.1,5.3,7.4,1.2,1.4,1.2,1.5,2.4,29.4,13,0,1.0,C,213.36,255.0,0.11909503529411766,0.4704225352112676
60,2001,Hakeem Olajuwon,12,TOR,39,61,33,22.5,7.1,3.2,6.9,46.4,0.0,0.0,0.0,0.8,1.4,56.0,1.6,4.4,6.0,1.1,1.6,1.2,1.5,2.4,22.5,4,0,0.4,C,213.36,255.0,0.14139780487199224,0.11909503529411766
61,1997,Alonzo Mourning,6,MIA,28,58,39,33.4,19.3,7.0,12.6,55.1,0.0,0.0,0.0,5.3,8.0,66.5,3.3,6.3,9.6,0.9,3.1,0.7,2.2,3.6,37.9,24,0,7.4,C,208.28,240.0,0.43766666666666665,0.41839405204460967
62,1998,Alonzo Mourning,7,MIA,29,46,32,38.2,20.1,7.0,13.8,51.2,0.0,0.0,0.0,6.0,9.2,65.2,3.6,7.4,11.0,1.6,3.0,0.7,3.9,3.5,46.7,29,0,7.4,C,208.28,240.0,0.4413176470588235,0.43766666666666665
63,1999,Alonzo Mourning,8,MIA,30,79,50,34.7,21.7,8.3,15.0,55.1,0.0,0.1,0.0,5.2,7.4,71.1,2.7,6.8,9.5,1.6,2.7,0.5,3.7,3.9,45.5,38,0,3.4,C,208.28,240.0,0.4754929577464789,0.4413176470588235
64,2000,Alonzo Mourning,9,MIA,31,13,8,23.5,13.6,5.6,10.8,51.8,0.0,0.1,0.0,2.4,4.2,56.4,2.7,5.1,7.8,0.9,2.2,0.3,2.4,1.8,30.2,2,0,2.2,C,208.28,240.0,0.44128941176470593,0.4754929577464789
65,2001,Alonzo Mourning,10,MIA,32,75,34,32.7,15.7,6.0,11.5,51.6,0.0,0.0,33.3,3.8,5.7,65.7,2.4,6.0,8.4,1.2,2.4,0.4,2.5,3.4,33.7,26,0,0.7,C,208.28,240.0,0.5122743413374389,0.44128941176470593
66,2004,Alonzo Mourning,13,MIA,35,37,17,19.0,7.6,2.7,5.7,47.2,0.0,0.0,0.0,2.2,3.8,58.2,1.4,3.9,5.4,0.5,1.5,0.2,2.0,2.2,19.9,4,0,-1.2,C,208.28,240.0,0.1038080808080808,0.12328926373375884
67,2005,Alonzo Mourning,14,MIA,36,65,43,20.0,7.8,2.9,4.8,59.7,0.0,0.0,0.0,2.0,3.4,59.4,1.9,3.6,5.5,0.2,1.2,0.2,2.7,2.7,22.1,9,0,3.6,C,208.28,240.0,0.12657256045920767,0.1038080808080808
68,2006,Alonzo Mourning,15,MIA,37,77,43,20.4,8.6,3.1,5.5,56.0,0.0,0.0,0.0,2.4,4.0,60.1,1.6,2.9,4.5,0.2,1.7,0.2,2.3,2.8,20.2,1,0,-1.0,C,208.28,240.0,0.04965845766672659,0.12657256045920767
69,1997,Dennis Rodman,8,CHI,37,80,60,35.7,4.7,1.9,4.5,43.1,0.1,0.3,17.4,0.8,1.4,55.0,5.3,9.8,15.0,2.9,1.8,0.6,0.2,3.0,27.6,5,0,4.2,F,200.66,210.0,0.03333333333333333,0.16728624535315986
70,1997,Dikembe Mutombo,6,ATL,32,82,50,35.5,13.4,4.9,9.1,53.7,0.0,0.0,0.0,3.7,5.5,67.0,3.4,8.0,11.4,1.0,2.0,0.4,3.4,3.1,37.9,47,0,5.1,C,218.44000000000003,245.0,0.3739333333333333,0.3574418959107807
71,1998,Dikembe Mutombo,7,ATL,33,50,31,36.6,10.8,3.5,6.8,51.2,0.0,0.0,0.0,3.9,5.7,68.4,3.8,8.4,12.2,1.1,1.9,0.3,2.9,2.9,35.1,26,0,4.5,C,218.44000000000003,245.0,0.3770661470588235,0.3739333333333333
72,1999,Dikembe Mutombo,8,ATL,34,82,28,36.4,11.5,3.9,7.0,56.2,0.0,0.0,0.0,3.6,5.1,70.8,3.7,10.4,14.1,1.3,2.1,0.3,3.3,3.0,39.0,46,1,-1.7,C,218.44000000000003,245.0,0.4056338028169014,0.3770661470588235
73,2000,Dikembe Mutombo,9,PHI,35,75,33,34.6,10.0,3.6,7.4,48.4,0.0,0.0,0.0,2.8,3.9,72.5,4.1,9.4,13.5,1.0,1.9,0.4,2.7,2.7,35.1,33,0,0.7,C,218.44000000000003,245.0,0.33684211764705885,0.4056338028169014
74,2001,Dikembe Mutombo,10,PHI,36,80,43,36.3,11.5,4.0,8.0,50.1,0.0,0.0,0.0,3.5,4.6,76.4,3.2,7.6,10.8,1.0,2.0,0.4,2.4,3.0,32.3,33,1,3.6,C,218.44000000000003,245.0,0.3999221275856075,0.33684211764705885
75,2002,Dikembe Mutombo,11,BKN,37,24,15,21.4,5.8,2.0,5.5,37.4,0.0,0.0,0.0,1.7,2.3,72.7,2.3,4.1,6.4,0.8,1.4,0.2,1.5,2.3,18.3,0,0,4.2,C,218.44000000000003,245.0,0.4040668567518248,0.3999221275856075
76,2003,Dikembe Mutombo,12,NYK,38,65,29,23.1,5.6,2.2,4.5,47.8,0.0,0.0,0.0,1.2,1.8,68.1,2.2,4.5,6.7,0.4,0.8,0.3,1.9,2.2,19.9,7,0,-0.6,C,218.44000000000003,245.0,0.44416956918167316,0.4040668567518248
77,2004,Dikembe Mutombo,13,HOU,39,80,50,15.3,4.0,1.4,2.7,49.8,0.0,0.0,0.0,1.3,1.8,74.1,1.9,3.5,5.3,0.1,0.6,0.2,1.3,1.7,14.4,3,0,2.6,C,218.44000000000003,245.0,0.0404040404040404,0.44416956918167316
78,2005,Dikembe Mutombo,14,HOU,40,64,27,14.9,2.6,0.8,1.5,52.6,0.0,0.0,0.0,1.1,1.4,75.8,1.6,3.2,4.8,0.1,0.5,0.3,0.9,2.0,11.4,1,0,-1.4,C,218.44000000000003,245.0,0.04159217088548038,0.0404040404040404
79,2006,Dikembe Mutombo,15,HOU,41,75,49,17.2,3.1,1.1,2.0,55.6,0.0,0.0,0.0,0.8,1.2,69.0,2.2,4.3,6.5,0.2,0.5,0.3,1.0,2.1,14.5,3,0,1.4,C,218.44000000000003,245.0,0.021923242854574868,0.04159217088548038
80,2007,Dikembe Mutombo,16,HOU,42,39,26,15.9,3.0,1.1,2.1,53.8,0.0,0.0,0.0,0.8,1.2,71.1,1.7,3.4,5.1,0.1,0.4,0.3,1.2,1.4,13.4,1,0,1.3,C,218.44000000000003,245.0,0.013539383094751193,0.021923242854574868
81,1997,Chris Webber,5,WAS,25,71,39,39.6,21.9,9.1,18.9,48.2,0.9,2.9,31.7,2.8,4.7,58.9,2.5,7.0,9.5,3.8,2.6,1.6,1.7,3.8,46.4,36,0,0.6,F-C,205.74,245.0,0.3333333333333333,0.3345724907063197
82,1998,Chris Webber,6,SAC,26,42,22,41.0,20.0,9.0,18.5,48.6,0.1,0.8,11.8,1.9,4.1,45.4,3.5,9.4,13.0,4.1,3.5,1.4,2.1,3.4,48.8,36,1,0.9,F-C,205.74,245.0,0.3235294117647059,0.3333333333333333
83,1999,Chris Webber,7,SAC,27,75,41,38.4,24.5,10.0,20.6,48.3,0.4,1.3,28.4,4.1,5.5,75.1,2.5,8.0,10.5,4.6,2.9,1.6,1.7,3.5,51.0,49,5,1.8,F-C,205.74,245.0,0.3380281690140845,0.3235294117647059
84,2000,Chris Webber,8,SAC,28,70,48,40.5,27.1,11.2,23.4,48.1,0.0,0.4,7.1,4.6,6.6,70.3,2.6,8.5,11.1,4.2,2.8,1.3,1.7,3.2,53.0,50,1,5.3,F-C,205.74,245.0,0.3,0.3380281690140845
85,2001,Chris Webber,9,SAC,29,54,42,38.4,24.5,9.9,19.9,49.5,0.1,0.4,26.3,4.7,6.3,74.9,2.8,7.3,10.1,4.8,2.9,1.7,1.4,3.4,50.1,31,1,7.6,F-C,205.74,245.0,0.35618062625710806,0.3
86,2002,Chris Webber,10,SAC,30,67,49,39.1,23.0,9.9,21.4,46.1,0.1,0.3,23.8,3.2,5.3,60.7,2.4,8.1,10.5,5.4,3.2,1.6,1.3,3.0,49.3,45,3,6.0,F-C,205.74,245.0,0.36353786496350365,0.35618062625710806
87,2003,Chris Webber,11,SAC,31,23,11,36.2,18.7,7.6,18.3,41.3,0.0,0.2,20.0,3.5,5.0,71.1,2.1,6.6,8.7,4.6,2.6,1.3,0.9,3.3,40.0,8,0,-0.5,F-C,205.74,245.0,0.39961819010713473,0.36353786496350365
88,2004,Chris Webber,12,PHI,32,67,39,35.4,19.5,8.3,19.1,43.3,0.2,0.7,34.1,2.7,3.4,79.4,1.9,7.2,9.1,4.7,2.7,1.4,0.8,3.2,41.4,31,4,0.8,F-C,205.74,245.0,0.3863636363636363,0.39961819010713473
89,2005,Chris Webber,13,PHI,33,75,33,38.6,20.2,8.2,19.0,43.4,0.3,1.0,27.3,3.5,4.6,75.6,2.5,7.4,9.9,3.4,2.4,1.4,0.8,2.9,41.4,38,0,-1.7,F-C,205.74,245.0,0.34367223110943823,0.3863636363636363
90,2006,Chris Webber,14,DET,34,61,35,29.8,11.2,4.7,10.5,45.2,0.1,0.2,36.4,1.7,2.6,63.8,2.0,5.1,7.2,3.1,1.8,1.0,0.7,2.3,27.6,13,0,1.7,F-C,205.74,245.0,0.35236694229732163,0.34367223110943823
91,1997,Elden Campbell,8,LAL,29,81,60,22.0,10.1,3.6,7.7,46.3,0.0,0.0,50.0,2.9,4.2,69.3,1.8,3.9,5.6,1.0,1.4,0.4,1.3,2.6,21.9,6,0,0.3,C,210.82,215.0,0.23333333333333334,0.26022304832713755
92,1998,Elden Campbell,9,CHA,30,49,31,29.8,12.6,4.5,9.5,47.7,0.0,0.0,0.0,3.5,5.5,63.9,2.6,5.5,8.1,1.4,1.6,0.8,1.5,3.2,29.6,14,0,0.0,C,210.82,215.0,0.23455882352941176,0.23333333333333334
93,1999,Elden Campbell,10,CHA,31,78,45,32.5,12.7,4.7,10.6,44.6,0.0,0.1,0.0,3.2,4.6,69.0,2.2,5.4,7.6,1.7,1.6,0.7,1.9,3.4,30.5,20,0,1.5,C,210.82,215.0,0.2267605633802817,0.23455882352941176
94,2000,Elden Campbell,11,CHA,32,78,46,30.0,13.1,4.7,10.7,44.0,0.0,0.1,0.0,3.7,5.2,70.9,2.0,5.8,7.8,1.3,1.8,0.8,1.8,3.6,30.3,21,0,1.9,C,210.82,215.0,0.18764705882352942,0.2267605633802817
95,2001,Elden Campbell,12,CHA,33,77,41,28.0,13.9,5.0,10.3,48.4,0.0,0.0,0.0,4.0,5.0,79.7,1.7,5.2,6.9,1.3,1.8,0.8,1.8,3.4,30.1,15,0,0.1,C,210.82,215.0,0.19989570658786718,0.18764705882352942
96,2002,Elden Campbell,13,OKC,34,56,28,15.5,6.1,2.1,5.3,39.7,0.0,0.0,0.0,1.9,2.4,80.1,0.8,2.4,3.2,0.9,0.9,0.6,0.7,2.3,14.3,0,0,0.8,C,210.82,215.0,0.09124087591240876,0.19989570658786718
